,mass_A,,,,
t,x,V_x,,,
0.00E+00,-2.88E-03,,,,
3.33E-02,-1.32E-02,-3.11E-01,,,
6.67E-02,-2.59E-02,-3.80E-01,,Avg_vel,-0.347534378
1.00E-01,-3.86E-02,-3.80E-01,,,
1.33E-01,-5.18E-02,-3.97E-01,,,
1.67E-01,-6.56E-02,-4.15E-01,,,
2.00E-01,-7.77E-02,-3.63E-01,,,
2.33E-01,-9.21E-02,-4.32E-01,,,
2.67E-01,-1.05E-01,-3.97E-01,,,
3.00E-01,-1.16E-01,-3.28E-01,,,
3.33E-01,-1.28E-01,-3.63E-01,,,
3.67E-01,-1.38E-01,-2.76E-01,,,
4.00E-01,-1.51E-01,-4.15E-01,,,
4.33E-01,-1.66E-01,-4.49E-01,,,
4.67E-01,-1.81E-01,-4.49E-01,,,
5.00E-01,-1.92E-01,-3.28E-01,,,
5.33E-01,-2.03E-01,-3.28E-01,,,
5.67E-01,-2.14E-01,-3.28E-01,,,
6.00E-01,-2.24E-01,-2.94E-01,,,
6.33E-01,-2.38E-01,-4.15E-01,,,
6.67E-01,-2.50E-01,-3.80E-01,,,
7.00E-01,-2.63E-01,-3.80E-01,,,
7.33E-01,-2.73E-01,-2.94E-01,,,
7.67E-01,-2.85E-01,-3.63E-01,,,
8.00E-01,-2.96E-01,-3.28E-01,,,
8.33E-01,-3.07E-01,-3.45E-01,,,
8.67E-01,-3.18E-01,-3.28E-01,,,
9.00E-01,-3.29E-01,-3.28E-01,,,
9.33E-01,-3.43E-01,-3.97E-01,,,
9.67E-01,-3.53E-01,-3.28E-01,,,
1.00E+00,-3.63E-01,-2.94E-01,,,
1.03E+00,-3.72E-01,-2.59E-01,,,
1.07E+00,-3.82E-01,-3.11E-01,,,
1.10E+00,-3.94E-01,-3.45E-01,,,
1.13E+00,-4.05E-01,-3.28E-01,,,
1.17E+00,-4.16E-01,-3.45E-01,,,
1.20E+00,-4.28E-01,-3.45E-01,,,
1.23E+00,-4.35E-01,-2.25E-01,,,
1.27E+00,-4.44E-01,-2.59E-01,,,
1.30E+00,-4.58E-01,-4.15E-01,,,
1.33E+00,-4.67E-01,-2.94E-01,,,
1.37E+00,-4.78E-01,-3.11E-01,,,
